created_at,username,text
2021-10-11 06:01:42+00:00,telebucomms,"This motivation definitely helps us to have a good start to the week! 

#Brooklyn99 #Brooklynninenine #Brooklyn… https://t.co/u7PxbUfaoW"
2021-10-10 22:00:01+00:00,Chekkee_,Under the general umbrella of moderation lies its types. Here is a reminder to moderate today and keep your communi… https://t.co/9Nce0BHA4P
2021-10-10 21:57:58+00:00,hurleygirl550,@melissafumero this cracked me up. #brooklynninenine https://t.co/oQn4Rm6rY4
2021-10-10 19:30:46+00:00,donnie1976,"After holding up for a couplemof months, I finally watched the final episodes of #Brooklyn99 and, boy, I wasn't rea… https://t.co/mBuP8yXIKj"
2021-10-10 19:19:47+00:00,KyleLivings92,RT @SHIELDZephyrOne: #Top10 Most Iconic #Numbers in #PopCulture by @WatchMojo #Movies #TVShows #90210BeverlyHills #BacktotheFuture #Brookly…
2021-10-10 19:05:42+00:00,reshamberi,"All my ❤️
Always makes me cry-this scene!  @nbcbrooklyn99 😭😭😭

#Brooklyn99 #Brooklynninenine https://t.co/TIeVZ6icUl"
2021-10-10 19:05:36+00:00,SHIELDZephyrOne,#Top10 Most Iconic #Numbers in #PopCulture by @WatchMojo #Movies #TVShows #90210BeverlyHills #BacktotheFuture… https://t.co/uKuHIempTB
2021-10-10 18:25:15+00:00,ItahShira,Ok listen to me when I tell you that the best show I’ve ever seen is #BrooklynNineNine !!!
2021-10-10 18:19:11+00:00,witsays,"Nothing hurts more than ending for favourite series . NINE - NINE 😭🥲
#Brooklynninenine"
2021-10-10 17:56:07+00:00,jmbvmts,just watched season 8 episode 1 of #Brooklyn99 #BrooklynNineNine and it's sooooo depressing and heartbreaking. i'm… https://t.co/ZEcnsPgz5p
2021-10-10 16:03:48+00:00,Pamsstation,"BROOKLYN NEW YORK - Weekend Getaway  Vlog = https://t.co/wUIfwDU1hp

#Brooklyn99 #BrooklynNineNine #BrooklynTogether"
2021-10-10 15:02:46+00:00,BuddyLove87,I'm about to watch #BrooklynNineNine during the second half probably
2021-10-10 14:32:17+00:00,nimaro24_nima,I started another rewatch of #BrooklynNineNine  and this was an emotional one considering it ended  and I have no m… https://t.co/UTAfylqsTB
2021-10-10 14:17:59+00:00,crimsonlatte__,"RT @B_Jon_26: Raymond Holt - Brooklyn 99

Fanart from the amazing series Brooklyn 99, Ray Holt is one of my favorite characters.

#Brooklyn…"
2021-10-09 20:56:50+00:00,fllior1,"I love clueless, childish characters way too much like Jake from #BrooklynNineNine, Troy from #community, Phil and… https://t.co/qqYcp5iEKg"
2021-10-09 19:43:03+00:00,tweetsbyhk,saturday nights are so relaxing.we forget all the tensions and try to relax.finding a good movie or show is a bigge… https://t.co/l81dZFi7SA
2021-10-09 16:06:03+00:00,Winterb58435003,"I'm still in doubt about the names and typo, but yeah

#Brooklyn99 #BrooklynNineNine #Fanart #posterdesign… https://t.co/9BMM4Lecvf"
2021-10-09 12:30:10+00:00,messagink,"All the writing fans who also love Brooklyn Nine Nine. 😍

Hit the hearts below!

#brooklynninenine #brooklyn99… https://t.co/WPSsij0ZyB"
2021-10-09 12:06:00+00:00,PricklyCards,This funny #Brooklyn99 Christmas card is ideal for fans of the show... and for those who insist on signing their te… https://t.co/jbcy4AkF7x
2021-10-09 11:21:15+00:00,Jimbob210712,@nbcbrooklyn99 #BrooklynNineNine #Brooklyn99 What a fantastic end to a fantastic Show! Never missed an Episode...!… https://t.co/GqOUncYI2H
2021-10-09 11:20:54+00:00,xoxoCorinne,Brooklyn Nine-Nine's HalloVeen episode is single-handedly one of the greatest episodes of television of all time.… https://t.co/lHS4hbYRQf
2021-10-09 10:16:06+00:00,ndechkul,Just watch the finale of #Brooklynninenine and can't stand the scene when the cellist call Jake ugly. Anyone realiz… https://t.co/q451OeynfO
2021-10-09 09:33:31+00:00,czarnomskajasmi,"okey, but when they wear FBI OR NYPD jackets they are 1727282 times HOTTER I CANT 🥰

#BrooklynNineNine #Brooklyn99 https://t.co/wTzzcsfYve"
2021-10-09 07:57:50+00:00,WRPLpodcast,"https://t.co/mQpK4QRWyr
Wow, this is a long one. We might have spent a little too much time reminiscing on… https://t.co/XuPiHO0w3n"
2021-10-09 07:54:55+00:00,mikky_dahiya,"The ending of #Brooklynninenine is nothing but emotional and fun!
A perfect #Goodbye 🙂🤓"
2021-10-09 07:48:25+00:00,BigShow42,Finally got around to watching the finale of #BrooklynNineNine and damn im gonna miss that show. #ninenine
2021-10-09 06:22:11+00:00,krayzie_vulcan,TO THE NINE NINE!! 🥂 #BrooklynNineNine
2021-10-09 04:55:01+00:00,tvdbrii,"RT @ranjhaanaaa: Say you'll remember me,
Standing in a nice dress
Staring at the sunset, babe...

#BrooklynNineNine 
#B99 #PERALTIAGO #Jake…"
